START_TIME,END_TIME,CATEGORY,ACTIVITY
4/19/2021 06:02,4/19/2021  06:26,ABLUTIONS,WAKE UP AND WASHUP
4/19/2021 06:30,4/19/2021  07:30,HEALTH and FITNESS,YOGA 
4/19/2021  07:35,4/19/2021  07:56,ABLUTIONS,MORNING BATH
4/19/2021  08:04,4/19/2021  08:26,MEALS,BREAKFAST
4/19/2021 08:32,4/19/2021  08:58,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/19/2021  09:00,4/19/2021  11:05,BUSINESS,WORK AND MEETINGS
4/19/2021  11:07,4/19/2021  11:15,MEALS,COFFEE BREAK
4/19/2021 11:16,4/19/2021  11:30,ONLINE INFOTAINMENT,SOCIAL NETWORK and PERSONAL EMAILS
4/19/2021 11:32,4/19/2021  13:05,BUSINESS,WORK AND MEETINGS
4/19/2021 13:05,4/19/2021  13:33,MEALS,LUNCH
4/19/2021 13:34,4/19/2021  14:00,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/19/2021 14:02,4/19/2021  15:33,BUSINESS,WORK AND MEETINGS
4/19/2021 15:34,4/19/2021  16:00,MEALS,TEA BREAK
4/19/2021 16:01,4/19/2021  18:00,BUSINESS,WORK AND MEETINGS
4/19/2021 18:02,4/19/2021  18:25,HEALTH and FITNESS,EVENING RUN
4/19/2021 18:35,4/19/2021  19:02,ABLUTIONS,EVENING BATH
4/19/2021 19:03,4/19/2021  20:00,BUSINESS,VIRTUAL MEETING
4/19/2021 20:05,4/19/2021  20:35,MEALS,DINNER
4/19/2021 20:45,4/19/2021  22:40,ONLINE INFOTAINMENT,WATCH IPL MATCH
4/20/2021 06:05,4/20/2021 06:25,ABLUTIONS,WAKE UP AND WASHUP
4/20/2021 06:30,4/20/2021 07:29,HEALTH and FITNESS,YOGA 
4/20/2021 07:35,4/20/2021 07:55,ABLUTIONS,MORNING BATH
4/20/2021 08:03,4/20/2021 08:24,MEALS,BREAKFAST
4/20/2021 08:30,4/20/2021 08:55,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/20/2021 09:00,4/20/2021 11:02,BUSINESS,WORK AND MEETINGS
4/20/2021 11:05,4/20/2021 11:20,MEALS,COFFEE BREAK
4/20/2021 11:20,4/20/2021 11:30,ONLINE INFOTAINMENT,SOCIAL NETWORK and PERSONAL EMAILS
4/20/2021 11:30,4/20/2021 13:05,BUSINESS,WORK AND MEETINGS
4/20/2021 13:05,4/20/2021 13:28,MEALS,LUNCH
4/20/2021 13:30,4/20/2021 14:05,BUSINESS,MEETING
4/20/2021 14:05,4/20/2021 15:31,BUSINESS,WORK AND MEETINGS
4/20/2021 15:32,4/20/2021 16:00,MEALS,TEA BREAK
4/20/2021 16:00,4/20/2021 18:30,BUSINESS,WORK AND MEETINGS
4/20/2021 18:33,4/20/2021 19:05,HEALTH and FITNESS,GYM
4/20/2021 19:07,4/20/2021 19:29,ABLUTIONS,EVENING BATH
4/20/2021 19:35,4/20/2021 20:00,MEALS,DINNER
4/20/2021 20:05,4/20/2021 22:30,ONLINE INFOTAINMENT,RELAXED FAMILY TIME
4/20/2021 22:30,4/20/2021 22:45,ONLINE INFOTAINMENT,SOCIAL NETWORK and PERSONAL EMAILS
4/21/2021 06:01,4/21/2021 06:20,ABLUTIONS,WAKE UP AND WASHUP
4/21/2021 06:27,4/21/2021 07:30,HEALTH and FITNESS,YOGA 
4/21/2021 07:35,4/21/2021 07:55,ABLUTIONS,MORNING BATH
4/21/2021 08:05,4/21/2021 08:24,MEALS,BREAKFAST
4/21/2021 08:30,4/21/2021 08:55,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/21/2021 09:00,4/21/2021 11:02,BUSINESS,WORK AND MEETINGS
4/21/2021 11:05,4/21/2021 11:20,MEALS,COFFEE BREAK
4/21/2021 11:20,4/21/2021 11:30,ONLINE INFOTAINMENT,SOCIAL NETWORK and PERSONAL EMAILS
4/21/2021 11:31,4/21/2021 13:05,BUSINESS,WORK AND MEETINGS
4/21/2021 13:05,4/21/2021 13:28,MEALS,LUNCH
4/21/2021 13:29,4/21/2021 14:00,ONLINE INFOTAINMENT,SOCIAL NETWORK and PERSONAL EMAILS
4/21/2021 14:05,4/21/2021 15:31,BUSINESS,WORK AND MEETINGS
4/21/2021 15:34,4/21/2021 16:00,MEALS,TEA BREAK
4/21/2021 16:01,4/21/2021 18:00,BUSINESS,WORK AND MEETINGS
4/21/2021 18:03,4/21/2021 18:40,HEALTH and FITNESS,GYM
4/21/2021 18:45,4/21/2021 19:06,ABLUTIONS,EVENING BATH
4/21/2021 19:15,4/21/2021 19:44,MEALS,DINNER
4/21/2021 19:45,4/21/2021 22:00,ONLINE INFOTAINMENT,WATCH IPL MATCH
